Name,Designation,Photo,Profile,Avg_rating,no_ratings,id
Shikha Takker,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Shikha_Takker.webp,https://www.mahindrauniversity.edu.in/faculty/shikha-takker/,0.0,0,192
Om Prasad,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Dr.Om_Prasad_332x390-removebg-preview-1.webp,https://www.mahindrauniversity.edu.in/faculty/omprasad/,0.0,0,193
Binay Kumar Pathak,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Binay_Kumar_Pathak.-332x390jpg-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/binay-kumar-pathak/,0.0,0,194
Mizaj K. V.,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Mizaj_332x390_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/mizaj-k-v/,0.0,0,195
Jyothi Basu,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/yerramadha-jyothi-basu-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-yerramadha-jyothi-basu/,0.0,0,196
Dr. Shashidhar Nanjundaiah,Professor & DeanSchool of Digital Media and Communication,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/08/Shashidhar_Nanjundaiah.webp,https://www.mahindrauniversity.edu.in/faculty/shashidhar-nanjundaiah/,0.0,0,197
Shivdasini Singh Amin,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Shivdasini-Singh-Amin.webp,https://www.mahindrauniversity.edu.in/faculty/dr-shivdasini-s-amin/,0.0,0,198
Rahul Dass,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/11/Rahul-Dass.webp,https://www.mahindrauniversity.edu.in/faculty/rahul-dass/,0.0,0,199
Akruti Rao Kandikonda,Academic Associate,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/10/Akruti-Rao-Kandikonda.webp,https://www.mahindrauniversity.edu.in/faculty/akruti-rao-kandikonda/,0.0,0,200
Deepthi Krishna Thota,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/08/Deepthi-Krishna-Thota-1.webp,https://www.mahindrauniversity.edu.in/faculty/deepthi-krishna-thota/,0.0,0,201
Jyotirmay Das,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/09/JYOTIRMAY-DAS.webp,https://www.mahindrauniversity.edu.in/faculty/jyotirmay-das/,0.0,0,202
